Species,lat,lon,Date,Observer(s),Area,Time,Indivs.,Comments
NOMO,36.54047222,-87.36056,3/10/2021,"JK,JA,JB,NS",NW,9:05,1,
EUST,36.53980556,-87.36306,3/10/2021,"JK,JA,JB,NS",NW,9:10,12,
EUST,36.53961111,-87.35944,3/10/2021,"JK,JA,JB,NS",NW,9:40,3,
HOSP,36.54002778,-87.35889,3/10/2021,"JK,JA,JB,NS",NW,9:40,3,
NOMO,36.53969444,-87.35861,3/10/2021,"JK,JA,JB,NS",NW,9:40,1,SINGING;DOING WING FLIGHT DISPLAY
EUST,36.53846111,-87.35083,3/10/2021,"JK,JA,JB,NS",NW,9:45,8,FLEW OVER FROM NE SIDE
HOSP,36.53875,-87.35778,3/10/2021,"JK,JA,JB,NS",NW,9:45,1,MALE;WENT INSIDE BLUEBIRD BOX
EUST,36.53777778,-87.35806,3/10/2021,"JK,JA,JB,NS",NW,9:50,8,
NOMO,36.53636111,-87.35944,3/10/2021,"JK,JA,JB,NS",NW,10:10,1,WHISPER SINGING
NOMO,36.53658333,-87.35944,3/10/2021,"JK,JA,JB,NS",NW,10:10,1,DEFENDING BUSH FROM OTHER NOMO
EUST,36.53722222,-87.36,3/10/2021,"JK,JA,JB,NS",NW,10:15,3,
EABL,36.53738889,-87.36,3/10/2021,"JK,JA,JB,NS",NW,10:30,1,FEMALE
HOSP,36.53452,-87.357728,3/10/2021,JM,SW,9:40,5,SCAVENGING PARKING LOT
NOMO,36.533532,-87.359271,3/10/2021,JM,SW,10:05,2,FLYING TOGETHER FROM TREE TO TREE
EUST,36.531929,-87.35838,3/10/2021,JM,SW,10:25,3,PERCHED ON TELEPHONE POLE
NOMO,36.53588889,-87.35333,3/10/2021,"KH, SZ",NE,9:15,1,ON  BUILDING SINGING
EUST,36.53688889,-87.35167,3/10/2021,"KH, SZ",NE,9:22,5,
NOMO,36.53688889,-87.35167,3/10/2021,"KH, SZ",NE,9:22,1,
NOMO,36.53719444,-87.35056,3/10/2021,"KH, SZ",NE,9:23,1,
EUST,36.53802778,-87.35528,3/10/2021,"KH, SZ",NE,9:29,30,
NOMO,36.53816667,-87.35528,3/10/2021,"KH, SZ",NE,9:40,2,CHASING EACH OTHER
EUST,36.53825,-87.355,3/10/2021,"KH, SZ",NE,9:41,2,
NOMO,36.53861111,-87.35639,3/10/2021,"KH, SZ",NE,9:43,2,
HOSP,36.53861111,-87.35694,3/10/2021,"KH, SZ",NE,9:50,1,ON BIRD HOUSE
EUST,36.53591667,-87.3575,3/10/2021,"KH, SZ",NE,9:51,1,
HOSP,36.53591667,-87.35778,3/10/2021,"KH, SZ",NE,10:00,1,
NOMO,36.53591667,-87.35778,3/10/2021,"KH, SZ",NE,10:00,1,
EUST,36.53566667,-87.35778,3/10/2021,"KH, SZ",NE,10:03,6,
EUST,36.53491667,-87.35694,3/10/2021,"KH, SZ",NE,10:07,2,
EUST,36.53366667,-87.35917,3/10/2021,"TY,HL,JS",SW,8:48,2,
EUST,36.53380556,-87.35944,3/10/2021,"TY,HL,JS",SW,8:50,1,
HOSP,36.5345,-87.35861,3/10/2021,"TY,HL,JS",SW,8:55,5,2 MALE 1 FEMALE; OTHERS CALLING
NOMO,36.53461111,-87.35083,3/10/2021,"TY,HL,JS",SW,8:55,1,
NOMO,36.53538889,-87.35861,3/10/2021,"TY,HL,JS",SW,9:00,1,
NOMO,36.53511111,-87.35917,3/10/2021,"TY,HL,JS",SW,9:05,1,PERCHED ON DEAD BOXWOOD
HOSP,36.53511111,-87.35917,3/10/2021,"TY,HL,JS",SW,9:06,2,
EUST,36.53494444,-87.35972,3/10/2021,"TY,HL,JS",SW,9:13,1,
NOMO,36.53491667,-87.36,3/10/2021,"TY,HL,JS",SW,9:15,2,
HOSP,36.53438889,-87.36056,3/10/2021,"TY,HL,JS",SW,9:26,3,
EUST,36.53411111,-87.35972,3/10/2021,"TY,HL,JS",SW,9:30,24,IN SHORT GRASS
HOSP,36.53411111,-87.36,3/10/2021,"TY,HL,JS",SW,9:30,6,IN SHORT GRASS
HOSP,36.534,-87.36056,3/10/2021,"TY,HL,JS",SW,9:31,10,
EUST,36.53358333,-87.35972,3/10/2021,"TY,HL,JS",SW,9:48,55,PERCHED ON LINE CALLING
NOMO,36.53388889,-87.35611,3/10/2021,"TY,HL,JS",SW,10:06,1,
EUST,36.541076,-87.359189,3/15/2021,SS,NW,16:02,2,"JUVENILE, SILENT"
NOMO,36.540225,-87.361327,3/15/2021,SS,NW,16:41,2,SINGING ON GATES
EABL,36.539651,-87.359735,3/15/2021,SS,NW,16:50,1,FEEDING
EUST,36.53633333,-87.35861,3/16/2021,DB,NW,13:30,1,STANDING ON MOWED GRASS
HOSP,36.53616667,-87.35861,3/16/2021,DB,NW,13:57,1,
EABL,36.53791667,-87.35861,3/16/2021,DB,NW,14:01,1,SITTING ON DEAD VINE
EABL,36.539664,-87.361466,3/18/2021,AZ,NW,9:42,2,
EABL,36.539888,-87.362195,3/18/2021,AZ,NW,9:50,1,
EABL,36.538272,-87.360639,3/18/2021,AZ,NW,10:07,1,MALE
EABL,36.538462,-87.359604,3/18/2021,AZ,NW,10:12,1,IN TREE CALLING; MALE
NOMO,36.53222222,-87.35083,3/18/2021,DB,SE,13:20,1,
NOMO,36.53427778,-87.35528,3/18/2021,DB,SE,13:31,2,BOTH IN SAME TREE
NOMO,36.53441667,-87.35417,3/18/2021,DB,SE,13:37,1,
NOMO,36.54033333,-87.36222,3/18/2021,"JK,JA,HL",NW,9:44,1,"HEARD; 60 F, SLIGHT BREEZE, OVERCAST"
EUST,36.53694444,-87.35083,3/18/2021,"JK,JA,HL",NW,10:50,1,
NOMO,36.53699167,-87.35417,3/18/2021,"NS,JA",NE,12:45,1,
EUST,36.53761111,-87.35222,3/18/2021,"NS,JA",NE,12:50,1,
EUST,36.53877778,-87.35611,3/18/2021,"NS,JA",NE,13:00,7,
EUST,36.53761111,-87.35778,3/18/2021,"NS,JA",NE,13:10,75,
NOMO,36.53719444,-87.35778,3/18/2021,"NS,JA",NE,13:15,1,
NOMO,36.53525,-87.35583,3/18/2021,"NS,JA",NE,13:25,1,
HOSP,36.5355,-87.35583,3/18/2021,"NS,JA",NE,13:30,2,
NOMO,36.541371,-87.36027,3/22/2021,AC,NW,9:32,2,
